asset_id,section,subject_or_scene,event_or_context,date_or_era,creator,source_page,license,commercial_reuse,attribution_required,share_alike,planned_use,status,notes
ET-COLTS-001,Colts Era Lab,"Bill Polian","Indianapolis Colts president at RCA Dome pregame",2007,"Senior Airman Carl Berry / U.S. Air Force","https://commons.wikimedia.org/wiki/File:Tony_Dungy_award_(cropped)_-_Bill_Polian.jpg",Public Domain,Yes,No,No,"Polian-era leadership portrait; era introduction; methodology/history context",Approved,"Authentic source photograph; public-domain U.S. Air Force work. Preserve photographed person; CSS crop/mask/color treatment only."
ET-COLTS-002,Colts Era Lab,"Peyton Manning","Indianapolis Colts game action",2010,"Mike Morbeck","https://commons.wikimedia.org/wiki/File:Peyton_Manning_passing.jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Polian-era hero/action image; QB chapter",Approved,"Authentic Indianapolis Colts photograph. Attribution/share-alike required; indicate responsive crop and color treatment."
ET-COLTS-003,Colts Era Lab,"Andrew Luck","Indianapolis Colts game",2014,"Jeffrey Beall","https://commons.wikimedia.org/wiki/File:Andrew_Luck.JPG",CC BY 3.0,Yes,Yes,No,"Grigson-era hero/action image; QB chapter",Approved,"Authentic photograph taken September 7, 2014 during the Grigson era. Attribution required; indicate responsive crop and color treatment."
ET-COLTS-004,Colts Era Lab,"Anthony Richardson","2023 Colts season",2023,"Tennessee Titans","https://commons.wikimedia.org/wiki/File:Anthony_Richardson_Colts_2023_season.png",CC BY 3.0,Yes,Yes,No,"Ballard-era modern-QB visual; QB chapter",Approved,"Authentic screenshot from a Creative Commons-licensed Titans video; Wikimedia license review confirmed."
ET-COLTS-005,Colts Era Lab,"Jonathan Taylor","Colts in 2022",2022,"All-Pro Reels","https://commons.wikimedia.org/wiki/File:Jonathan_Taylor_2022.jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Ballard-era talent/core visual; Ballard contradiction chapter",Approved,"Authentic source photograph; Flickr license reviewed on Wikimedia Commons. Attribution/share-alike required."
ET-COLTS-006,Colts Era Lab,"Ryan Grigson","Colts GM press conference",2012,"Associated Press / editorial source","https://www.bostonglobe.com/sports/2012/01/22/colts-begin-new-era-with-ryan-grigson/jMArerFrUfoh8xXB0larPK/story.html",Editorial copyright,Unknown,Yes,No,"Potential Grigson leadership portrait",Pending,"Visual reference only. Do not ship or archive until publication rights are cleared or a reusable replacement is found."
ET-COLTS-007,Colts Era Lab,"Chris Ballard","Colts GM press conference",2020,"Indianapolis Colts","https://www.colts.com/news/chris-ballard-to-hold-end-of-season-press-conference",Editorial copyright,Unknown,Yes,No,"Potential Ballard leadership portrait",Pending,"Visual reference only. Do not ship or archive until publication rights are cleared or a reusable replacement is found."
ET-LIONS-001,Detroit Lions Turnaround,"Calvin Johnson","Detroit Lions 2007",2007,"Dave Hogg","https://commons.wikimedia.org/wiki/File:Calvin_Johnson_Lions.jpg",CC BY 2.0,Yes,Yes,No,"Millen-era hero; collapse chapter; authentic subject cutout",Approved,"Authentic 2007 Detroit Lions photograph. CSS clip path hides background pixels only; photographed player is not generated or reconstructed. Attribution and change disclosure required."
ET-LIONS-002,Detroit Lions Turnaround,"Matthew Stafford","Detroit Lions preseason game",2015,"Keith Allison","https://commons.wikimedia.org/wiki/File:Matthew_Stafford_2015.jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Mayhew/Quinn era hero; reconstruction and QB-credit chapters",Approved,"Authentic 2015 Detroit Lions photograph. CSS clip path hides background pixels only; photographed player is not generated or reconstructed. Derivative treatment remains CC BY-SA 2.0."
ET-LIONS-003,Detroit Lions Turnaround,"Jared Goff","Detroit Lions home game",2022,"All-Pro Reels","https://commons.wikimedia.org/wiki/File:Jared_Goff_1.jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Stafford-trade chapter; authentic editorial crop",Approved,"Authentic September 18, 2022 Detroit Lions photograph. Responsive editorial crop and color treatment only; derivative treatment remains CC BY-SA 2.0."
ET-LIONS-004,Detroit Lions Turnaround,"Penei Sewell","Detroit Lions entrance at Ford Field",2022,"All-Pro Reels","https://commons.wikimedia.org/wiki/File:Penei_Sewell_(52480402764)_(cropped).jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Holmes-era hero and synchronized-build chapter; authentic subject cutout",Approved,"Authentic September 18, 2022 Detroit Lions photograph. CSS clip path hides background pixels only; photographed player is not generated or reconstructed. Derivative treatment remains CC BY-SA 2.0."
ET-PACERS-001,Indiana Pacers Conversion Chain,"Paul George","Indiana Pacers 2014",2014,"Joshua S. Kelly / joshuak8; Commons derivative by Chrishmt0423","https://commons.wikimedia.org/wiki/File:Paul_George_Pacers.jpg",CC BY-SA 3.0,Yes,Yes,Yes,"Pacers hero; Paul George core chapter; authentic subject cutout",Approved,"Authentic source photograph. CSS clipping/masking hides background pixels only; photographed player is not generated or reconstructed. Derivative remains CC BY-SA 3.0."
ET-PACERS-002,Indiana Pacers Conversion Chain,"Victor Oladipo","Indiana Pacers 2018",2018,"Keith Allison","https://commons.wikimedia.org/wiki/File:Victor_Oladipo_(39060706270).jpg",CC BY-SA 2.0,Yes,Yes,Yes,"Pacers conversion hero; Oladipo/Sabonis core chapter; authentic subject cutout",Approved,"Authentic source photograph. CSS clipping/masking hides background pixels only; photographed player is not generated or reconstructed. Derivative remains CC BY-SA 2.0."
ET-PACERS-003,Indiana Pacers Conversion Chain,"Domantas Sabonis","Indiana Pacers 2018",2018,"Taphazardly","https://commons.wikimedia.org/wiki/File:Sabonis_Pacers.jpg",CC BY-SA 4.0,Yes,Yes,Yes,"Pacers conversion hero; Oladipo/Sabonis core chapter; authentic subject cutout",Approved,"Authentic source photograph. CSS clipping/masking hides background pixels only; photographed player is not generated or reconstructed. Derivative remains CC BY-SA 4.0."
ET-PACERS-004,Indiana Pacers Conversion Chain,"Tyrese Haliburton","Indiana Pacers 2025",2025,"Chensiyuan","https://commons.wikimedia.org/wiki/File:1_tyrese_haliburton_2025_(cropped).jpg",CC BY-SA 4.0,Yes,Yes,Yes,"Pacers hero; Haliburton core and resilience chapters; authentic subject cutout",Approved,"Authentic source photograph. CSS clipping/masking hides background pixels only; photographed player is not generated or reconstructed. Derivative remains CC BY-SA 4.0."
ET-PACERS-005,Indiana Pacers Conversion Chain,"Pascal Siakam","Indiana Pacers 2025",2025,"Chensiyuan","https://commons.wikimedia.org/wiki/File:1_pascal_siakam_2025.jpg",CC BY-SA 4.0,Yes,Yes,Yes,"Pacers Siakam chapter; Finals-core visual; authentic subject cutout",Approved,"Authentic source photograph. CSS clipping/masking hides background pixels only; photographed player is not generated or reconstructed. Derivative remains CC BY-SA 4.0."
ET-CUBS-001,Chicago Cubs Rebuild Lifecycle,"Theo Epstein","Wrigley Field before 2016 NLCS Game 6",2016,"Arturo Pardavila III","https://commons.wikimedia.org/wiki/File:Cubs_President_of_Baseball_Operations_Theo_Epstein_talks_to_reporters_before_NLCS_Game_6.jpg",CC BY 2.0,Yes,Yes,No,"Report 004 hero; rebuild-promise chapter",Approved,"Authentic source photograph. Responsive crop, tonal/color treatment, edge fade and layout masking only; photographed person is not generated or reconstructed."
ET-CUBS-002,Chicago Cubs Rebuild Lifecycle,"Kris Bryant","2016 Cubs championship season",2016,"Arturo Pardavila III","https://commons.wikimedia.org/wiki/File:Cubs_third_baseman_Kris_Bryant_talks_to_reporters_at_2016_All-Star_Game_availability._(28482577616)_(cropped).jpg",CC BY 2.0,Yes,Yes,No,"Report 004 hero; foundation/peak visual",Approved,"Authentic source photograph. Responsive crop and color treatment only; photographed person is not generated or reconstructed."
ET-CUBS-003,Chicago Cubs Rebuild Lifecycle,"Anthony Rizzo","Wrigley Field on July 16, 2016",2016,"Julie Fennell; Commons crop by UCinternational","https://commons.wikimedia.org/wiki/File:Anthony_Rizzo_on_July_16,_2016.jpg",CC BY 2.0,Yes,Yes,No,"Foundation asset-conversion chapter",Approved,"Authentic source photograph. Responsive crop and edge fade only; photographed person is not generated or reconstructed."
ET-CUBS-004,Chicago Cubs Rebuild Lifecycle,"Jake Arrieta","2016 World Series Game 6",2016,"Arturo Pardavila III","https://commons.wikimedia.org/wiki/File:Cubs_starter_Jake_Arrieta_delivers_a_pitch_in_the_first_inning_of_World_Series_Game_6._(30634548581).jpg",CC BY 2.0,Yes,Yes,No,"Peak-team chapter",Approved,"Authentic World Series photograph. Responsive crop, tonal treatment and edge fade only; photographed person is not generated or reconstructed."
ET-CUBS-005,Chicago Cubs Rebuild Lifecycle,"Chicago Cubs celebration","2016 World Series Game 7 post-game",2016,"Arturo Pardavila III","https://commons.wikimedia.org/wiki/File:The_Cubs_celebrate_after_winning_the_2016_World_Series._(30709972906).jpg",CC BY 2.0,Yes,Yes,No,"Full-bleed title/dynasty chapter",Approved,"Authentic 2016 championship celebration. Responsive editorial crop and tonal treatment only; no synthetic historical scene."
ET-CUBS-006,Chicago Cubs Rebuild Lifecycle,"Pete Crow-Armstrong","South Bend Cubs game",2022,"Erik Drost","https://commons.wikimedia.org/wiki/File:Pete_Crow-Armstrong_(52442182017)_(cropped).jpg",CC BY 2.0,Yes,Yes,No,"2021 teardown and second-build recovery chapter",Approved,"Authentic Cubs-system photograph. Responsive crop and edge fade only; photographed person is not generated or reconstructed."
